mode,tau,sharpness,control_max_scale,ip_max_scale,canny_mse_mean,canny_mse_std,canny_mse_median,clip_similarity_mean,clip_similarity_std,clip_similarity_median,canny_score,clip_score,balanced_score,stage
smooth_tau__tau_0p25,0.25,12.0,1.0,0.8,0.17159633636474608,0.07195040593290054,0.1721324920654297,0.7828982669115067,0.07836694446082187,0.7775448858737946,0.0,1.0,0.5,tau
smooth_tau__tau_0p75,0.75,12.0,1.0,0.8,0.1489605712890625,0.07795754854738211,0.14228248596191406,0.6139138814806938,0.09751928669134628,0.6260872483253479,1.0,0.0,0.5,tau
smooth_tau__tau_0p5,0.5,12.0,1.0,0.8,0.1603878402709961,0.07878626839280688,0.15149497985839844,0.6873588210344315,0.09871247412774084,0.6878352165222168,0.4951675393464256,0.43462559790063066,0.46489656862352813,tau
smooth_tau__tau_0p6,0.6,12.0,1.0,0.8,0.15568416595458984,0.07858180194488638,0.14577674865722656,0.6389313617348671,0.0970256016734801,0.6523098349571228,0.7029658753284139,0.14804610609668525,0.4255059907125496,tau
smooth_tau__tau_0p4,0.4,12.0,1.0,0.8,0.16794830322265625,0.07007574476029252,0.1538867950439453,0.7262090757489205,0.09494276758448832,0.7265027463436127,0.1611623521401858,0.6645300036564833,0.41284617789833455,tau
smooth_sharpness__tau_0p25__sharp_16p0,0.25,16.0,1.0,0.8,0.1667807388305664,0.07099696882882289,0.15845489501953125,0.7976128751039505,0.08198653842327565,0.8093879818916321,1.0,1.0,1.0,sharpness
smooth_sharpness__tau_0p25__sharp_12p0,0.25,12.0,1.0,0.8,0.16860931396484374,0.07350276411882133,0.1673259735107422,0.7899772053956986,0.07751805037799439,0.8003828525543213,0.6064320667345406,0.3239529380870946,0.4651925024108176,sharpness
smooth_sharpness__tau_0p25__sharp_8p0,0.25,8.0,1.0,0.8,0.17142688751220703,0.07045290041505267,0.16713905334472656,0.7863182920217514,0.07250565989329844,0.7932166457176208,0.0,0.0,0.0,sharpness
smooth_ipmax__tau_0p25__sharp_16p0__ip_1p0,0.25,16.0,1.0,1.0,0.17233280181884766,0.07369789935340888,0.16302108764648438,0.8082004320621491,0.08157857961565693,0.8230488300323486,0.5079943844323959,1.0,0.7539971922161979,ip_max_scale
smooth_ipmax__tau_0p25__sharp_16p0__ip_0p8,0.25,16.0,1.0,0.8,0.1713702392578125,0.07332300510327931,0.16937637329101562,0.7883115068078042,0.08253020707800662,0.8011113405227661,1.0,0.461154000037077,0.7305770000185385,ip_max_scale
smooth_ipmax__tau_0p25__sharp_16p0__ip_0p6,0.25,16.0,1.0,0.6,0.17332664489746094,0.06767876495185082,0.1731243133544922,0.7712902104854584,0.08169381273826522,0.77745321393013,0.0,0.0,0.0,ip_max_scale
smooth_ctrlmax__tau_0p25__sharp_16p0__ip_1p0__ctrl_1p2,0.25,16.0,1.2,1.0,0.17249679565429688,0.07285327233820468,0.1674327850341797,0.8112575668096542,0.06734495596586827,0.8165424168109894,1.0,0.6146341103570375,0.8073170551785187,control_max_scale
smooth_ctrlmax__tau_0p25__sharp_16p0__ip_1p0__ctrl_0p8,0.25,16.0,0.8,1.0,0.1732501220703125,0.07123727212874509,0.16261863708496094,0.8151497650146484,0.06699466122874906,0.8186506628990173,0.0,1.0,0.5,control_max_scale
smooth_ctrlmax__tau_0p25__sharp_16p0__ip_1p0__ctrl_1p0,0.25,16.0,1.0,1.0,0.17301151275634766,0.07036845681885334,0.17298126220703125,0.8050497579574585,0.0662498512520633,0.8113482296466827,0.3167409357909758,0.0,0.1583704678954879,control_max_scale
